"PEAT_DEPTH","elev","aspect","slope","gdd","gsl","rain_ann","rain_daily","raindays_10mm","raindays_1mm","temp_mean","temp_min","temp_max"
8,6684,39.0684730750802,0.500847135493634,787.416139,196.19772,1042.850331,2.85712419452055,54.514135,195.832888,5.08899375,2.32522541666667,7.857791
46,6154,112.023055496811,0.447541139571777,736.668016,188.39368,1122.426464,3.07514099726027,56.25664,199.033872,4.8756,2.17849333333333,7.58517066666667
90,6027,108.056347860808,0.622607427032509,721.904188,186.09624,1154.132352,3.16200644383562,56.76742,199.973596,4.815925,2.13539666666667,7.510572
16,6702,44.5488614532125,0.422044255331077,790.202586,196.64728,1039.450094,2.84780847671233,54.42699,195.647612,5.1029125,2.33423916666667,7.876084
81,6713,135.795723552739,0.249287394684216,795.19942,197.4076,1033.20248,2.8306917260274,54.2551,195.33534,5.124125,2.34848333333333,7.90344666666667
18,6238,38.7246469056044,0.802615892660092,743.8137,189.49,1108.7525,3.03767808219178,56.0067,198.5852,4.904125,2.19884166666667,7.621
39,6364,100.332700515922,0.431105096523927,757.85267,191.6636,1085.06233,2.97277350684931,55.52705,197.69394,4.9634375,2.23990416666667,7.69658
28,6506,53.0920825989448,0.645737453992033,768.852795,193.3686,1068.430155,2.92720590410959,55.154775,196.99404,5.01109375,2.27231875,7.75778833333333
97,6003,110.534464889337,0.660471485901416,719.043342,185.65416,1161.264018,3.18154525479452,56.86893,200.153964,4.8051375,2.1272575,7.49738133333333
173,6706,124.094977954765,0.37398968914481,805.549086,198.98128,1020.854594,2.79686190136986,53.89959,194.688812,5.1682875,2.37798916666667,7.960534
98,6069,112.432990922125,0.724144746161395,727.981878,187.03344,1140.016362,3.12333249863014,56.55267,199.590876,4.8392375,2.1526925,7.53931533333333
158,6113,111.120628635656,0.638599686775194,733.273173,187.87204,1129.337117,3.09407429315069,56.375745,199.247216,4.86220625,2.16882791666667,7.568437
195,6580,43.3750236424755,0.462615747721515,777.897135,194.7478,1055.542015,2.89189593150685,54.842275,196.42812,5.04888541666667,2.29809375,7.806215
24,6652,239.109888388183,0.588323336913444,816.373416,200.62568,1008.703164,2.76357031232877,53.52844,194.012972,5.21476666666667,2.40885166666667,8.02077066666667
24,6384,93.0876512849854,0.54289809723241,760.283119,192.06012,1081.514751,2.96305411232877,55.451635,197.530648,4.97561875,2.24790041666667,7.712511
66,6268,48.002272587892,0.791635170984653,746.06615,189.86,1105.13125,3.02775684931507,55.93715,198.4329,4.9154375,2.20632916666667,7.63575
139,6353,101.846394133219,0.48239048994725,753.805164,191.04472,1091.702856,2.99096672876712,55.66766,197.947588,4.94685833333333,2.22837333333333,7.675516
31,6709,220.279863068956,0.368975169582071,810.901918,199.79464,1014.754322,2.78014882739726,53.71597,194.354556,5.1912375,2.39325083333333,7.99025866666667
147,6546,43.1034816967914,0.490599316168705,773.315632,194.04936,1061.961528,2.90948363835616,55.00048,196.714744,5.0297,2.28503666666667,7.781608
177,6047,111.870943165217,0.653073421631696,724.8837,186.556,1147.0498,3.14260219178082,56.662,199.7859,4.82729166666667,2.143875,7.52455
42,6154,112.023055496811,0.447541139571777,736.668016,188.39368,1122.426464,3.07514099726027,56.25664,199.033872,4.8756,2.17849333333333,7.58517066666667
34,6351,222.580490783344,0.787885735848587,847.501221,205.27108,977.036909,2.67681344931507,52.438065,192.104432,5.34350625,2.49440791666667,8.187349
49,6051,225.95883566125,0.701648856009792,875.17485,209.386,952.25675,2.60892260273973,51.46875,190.4129,5.4585625,2.57012916666667,8.3368
25,6556,228.086489263781,0.625533974979029,827.67241,202.3408,996.74819,2.73081695890411,53.14165,193.30782,5.2635625,2.44107083333333,8.08415666666667
28,6393,215.435607033837,0.774688416656613,844.81617,204.8896,979.68783,2.68407624657534,52.53845,192.26074,5.33389583333333,2.48782083333333,8.17513
90,6252,231.100059960322,0.749993688750151,856.488432,206.60736,968.678628,2.65391404931507,52.12278,191.555244,5.3807,2.51897,8.23559133333333
35,6452,220.794642998292,0.626124732735022,838.751342,203.97016,985.493418,2.69998196712329,52.74553,192.638964,5.30747083333333,2.47052416666667,8.14068133333333
90,6474,216.393526480211,0.584433050387833,836.125624,203.59752,988.168896,2.70731204383562,52.84396,192.791608,5.29815,2.46410666666667,8.128856
99,6279,225.641343878943,0.758490497101118,853.744048,206.21704,971.304992,2.66110956712329,52.22512,191.715216,5.3708,2.51221333333333,8.22297866666667
81,6576,240.229732891909,0.610636065184907,825.106025,201.977,999.448225,2.73821431506849,53.238125,193.4568,5.25453125,2.43482291666667,8.072725
45,6150,230.211255861586,0.828394465487384,865.712975,207.979,960.418575,2.63128376712329,51.799675,190.9914,5.41905208333333,2.54421041666667,8.28540833333333
15,6635,249.279514700308,0.619835923039013,816.949476,200.76448,1008.150304,2.76205562739726,53.52604,193.954692,5.22139166666667,2.412635,8.029994
19,6711,32.3998401739201,0.298722155302168,792.989033,197.09684,1036.049857,2.83849275890411,54.339845,195.462336,5.11683125,2.34325291666667,7.894377
161,6484,57.1809160790052,0.687445857072513,766.998406,193.11088,1071.424874,2.93541061369863,55.22779,197.099052,5.0055375,2.26810583333333,7.75108066666667
141,6091,96.8748180287041,0.617476113598171,725.697092,186.73016,1146.595168,3.14135662465753,56.65178,199.712964,4.835075,2.14833666666667,7.535348
240,6586,56.1069966773723,0.53102336038167,778.532528,194.89544,1055.013712,2.8904485260274,54.83792,196.366176,5.0558,2.30204666666667,7.815832
360,6157,90.4511385467875,0.307442463177198,736.04235,188.372,1125.13845,3.08257109589041,56.30575,199.0403,4.87985416666667,2.17992916666667,7.59201666666667
99,6072,111.623196127905,0.538220577194358,721.63452,186.1276,1156.99168,3.16984021917808,56.8048,199.95804,4.82191666666667,2.13785,7.51978
8,6690,27.7725117735483,0.445491464133805,790.778646,196.78608,1038.897234,2.84629379178082,54.42459,195.589332,5.1095375,2.3380225,7.88530733333333
105,6715,29.156917882312,0.265538198655997,795.77548,197.5464,1032.64962,2.82917704109589,54.2527,195.27706,5.13075,2.35226666666667,7.91267
15,6177,75.0685828218626,0.660064790758514,743.069368,189.45064,1111.415372,3.04497362191781,56.05972,198.598956,4.9078,2.19993833333333,7.62705866666667
195,6413,71.5650511770775,0.423373194802228,756.811673,191.58004,1087.602417,2.97973264931507,55.589845,197.726016,4.96566458333333,2.24015291666667,7.70067033333333
157,6511,48.6173331368826,0.552399088419231,769.488188,193.51624,1067.901852,2.92575849863014,55.15042,196.932096,5.01800833333333,2.27627166666667,7.76740533333333
77,6046,110.36387035011,0.548224980910467,719.856734,185.82832,1160.809386,3.18029968767123,56.85871,200.081028,4.81292083333333,2.13171916666667,7.50817933333333
111,6725,197.525568373722,0.099296652755467,803.73676,198.7828,1023.07544,2.8029464109589,53.9878,194.76852,5.16675,2.37603333333333,7.95950666666667
27,6152,121.780915092984,0.496010109020404,729.489996,187.36408,1139.057984,3.12070680547945,56.53614,199.452332,4.854225,2.16127666666667,7.560124
157,6142,101.768288932021,0.352381365377952,734.027232,188.03736,1128.857928,3.09276144657534,56.36748,199.177944,4.8697,2.17312,7.57884133333333
185,6570,50.3227507077688,0.519340231654446,776.50014,194.6112,1057.93476,2.89845139726027,54.9168,196.48218,5.049375,2.297325,7.80794333333333
61,6653,240.012434911912,0.67796596573398,814.442424,200.40952,1010.874896,2.7695202630137,53.62056,194.100008,5.21265,2.40655666666667,8.018956
27,6430,98.0591039028708,0.518548139532874,760.918512,192.20776,1080.986448,2.96160670684931,55.44728,197.468704,4.98253333333333,2.25185333333333,7.722128
106,6283,53.7101799900113,0.909131312059742,746.760876,190.01648,1104.627504,3.02637672328767,55.93084,198.367292,4.92264166666667,2.21045166666667,7.64576066666667
158,6391,79.5625246488813,0.525277223488428,754.49989,191.2012,1091.19911,2.98958660273973,55.66135,197.88198,4.9540625,2.23249583333333,7.68552666666667
10,6680,232.787017954633,0.695729897034502,811.935372,200.05456,1013.599488,2.77698489863014,53.71508,194.245324,5.20390833333333,2.40047833333333,8.007918
155,6531,47.1475854282981,0.515107121846165,771.97797,193.9216,1064.37883,2.91610638356164,55.07305,196.76514,5.03047916666667,2.2844375,7.78373
36,6090,99.3295396426979,0.616995916206912,724.554699,186.57852,1149.884571,3.15036868767123,56.701335,199.774008,4.83299375,2.14615875,7.53336433333333
249,6185,114.537728476577,0.247644114847416,739.496526,188.90248,1118.252354,3.06370507945205,56.18469,198.823292,4.8935375,2.18976416666667,7.609144
12,6331,216.766755039865,0.837932304197274,851.69439,205.9832,973.42761,2.66692495890411,52.32115,191.80958,5.36810416666667,2.50957916666667,8.22037666666667
73,6056,219.691299645227,0.67624689346678,876.106908,209.57784,951.851232,2.60781159452055,51.45462,190.332636,5.466925,2.57493,8.34838533333333
20,6527,240.788707742271,0.489504845913037,831.390915,202.9822,992.942435,2.72039023287671,53.040375,193.04228,5.28584375,2.45488541666667,8.114035
71,6408,213.902116074905,0.752755356877214,845.510896,205.04608,979.184084,2.68269612054794,52.53214,192.195132,5.3411,2.49194333333333,8.18514066666667
11,6184,221.449703241712,0.770479462900561,863.72265,207.754,962.56575,2.63716643835616,51.89375,191.0821,5.41664583333333,2.54174583333333,8.2832
18,6289,218.173137661526,0.790997370726665,854.498107,206.38236,970.825803,2.65979672054795,52.216855,191.645944,5.37829375,2.51650541666667,8.233383
54,5988,217.00407955396,0.818036064909784,882.883732,210.60336,946.340328,2.59271322739726,51.22408,189.910444,5.496825,2.59426166666667,8.387558
34,6080,217.353237986433,0.656509738346403,873.184525,209.161,954.403925,2.6148052739726,51.562825,190.5036,5.45615625,2.56766458333333,8.33459166666667
44,6513,228.922712890511,0.555119487914859,834.075966,203.36368,990.291514,2.71312743561644,52.93999,192.885972,5.29545416666667,2.4614725,8.126254
27,6146,222.406493555211,0.793205885739755,866.5857,208.162,959.9885,2.63010547945205,51.7875,190.9148,5.427125,2.54884166666667,8.2966
150,6440,218.567346075862,0.62784448734182,842.766512,204.65576,981.810448,2.68989163835616,52.63448,192.355104,5.3312,2.48518666666667,8.172528
142,6464,225.919104783714,0.584229247785291,840.022128,204.26544,984.436812,2.69708715616438,52.73682,192.515076,5.3213,2.47843,8.15991533333333
19,6223,226.072829275792,0.756680472255567,860.8596,207.346,965.143,2.64422739726027,52,191.2494,5.40616666666667,2.53465,8.2698
23,6561,248.710561919348,0.519200123616608,825.622752,202.10696,998.870808,2.73663235068493,53.23768,193.402184,5.26086666666667,2.43843666666667,8.08155466666667
35,6112,214.796026278269,0.73175788024788,870.262142,208.74416,956.956618,2.62179895342466,51.67103,190.674564,5.4453875,2.56039916666667,8.320798
10,6197,98.3929251873924,0.656652209946063,610.597312,172.786352,1439.97752,3.94514389041096,61.006416,201.7588,4.708024,1.98245333333333,7.47157333333333
15,6256,74.0249325432042,0.585535009893362,607.834292,172.468232,1439.65542,3.94426142465753,60.893856,201.8497,4.692409,1.97576166666667,7.44930666666667
25,5514,52.7870179546326,0.395507342665113,636.43424,176.01064,1541.0716,4.22211397260274,58.21752,198.7252,4.86774666666667,2.02913333333333,7.725
30,5529,108.996654155488,0.572948034308421,654.19781,177.95016,1528.29015,4.18709630136986,59.80218,198.68725,4.96466583333333,2.0794125,7.85525833333333
35,5496,38.659808254091,0.309844639741631,639.01216,176.32376,1545.0224,4.23293808219178,58.15068,198.5368,4.88297,2.03428333333333,7.74808333333333
40,6396,127.056528189408,0.550652435482207,573.8038,168.48868,1274.02541,3.49048057534247,63.12133,205.25181,4.4611025,1.89602833333333,7.08988916666667
80,7073,65.9372852742756,0.410587895117347,567.8687,167.50494,1270.16691,3.47990934246575,62.61413,204.85908,4.4540625,1.905355,7.07511416666667
73,5706,38.688789424867,0.657363470839701,671.397394,179.809424,1533.93159,4.20255230136986,60.896292,198.45445,5.0597005,2.12978583333333,7.98393833333333
70,6693,120.765673381714,0.781445241814074,562.910492,167.182672,1249.2179,3.42251479452055,63.276568,205.818644,4.403193,1.87544066666667,7.00309266666667
100,5742,7.19566462322404,0.898933987177732,638.47613,176.00128,1473.00615,4.03563328767123,61.26654,200.40325,4.86828916666667,2.05019583333333,7.703675
115,6441,136.668337448295,0.349369744520116,572.68812,168.346784,1281.399448,3.51068341917808,63.171524,205.265768,4.45989366666667,1.89413766666667,7.089823
194,6647,117.897271030948,0.448238681448207,570.277132,168.023072,1326.60422,3.63453210958904,62.980476,205.0105,4.468164,1.89130333333333,7.11039833333333
170,5669,15.7908411865481,0.727892824106406,658.541996,178.405216,1525.58046,4.17967249315068,60.257028,198.7333,4.98800866666667,2.09309333333333,7.885495
300,5554,148.290801411285,0.432269087966822,656.630826,178.276896,1540.28451,4.21995756164383,59.373468,198.29305,4.98039783333333,2.08220583333333,7.88176166666667
146,6658,124.045937356602,0.787752657440312,563.23004,167.223568,1280.238996,3.50750409863014,63.434248,205.764036,4.41533733333333,1.87333366666667,7.02742933333333
125,5468,118.87242417404,0.296468424357427,657.777528,178.353888,1531.46208,4.19578652054794,59.903604,198.5572,4.98496433333333,2.08873833333333,7.88400166666667
148,6462,108.708434953589,0.585115716336908,572.99996,168.346552,1311.439494,3.59298491506849,63.240422,205.068854,4.4776435,1.897113,7.12119816666667
38,6920,117.624561718474,1.03726542057609,573.11246,168.24136,1232.8687,3.37772246575342,62.57484,204.83882,4.462765,1.91600333333333,7.07959666666667
